Rating Area ID*,Tobacco*,Age*,Individual Rate*,,Tobacco Rate*
57129MN0220003,Rating Area 1,No Preference,29,395.05,
57129MN0220003,Rating Area 1,No Preference,30,400.7,
57129MN0220003,Rating Area 1,No Preference,31,409.17,
57129MN0220003,Rating Area 1,No Preference,32,417.64,
57129MN0220003,Rating Area 1,No Preference,33,422.94,
57129MN0220003,Rating Area 1,No Preference,34,428.59,
57129MN0220003,Rating Area 1,No Preference,35,431.41,
57129MN0220003,Rating Area 1,No Preference,36,434.24,
57129MN0220003,Rating Area 1,No Preference,37,437.06,
57129MN0220003,Rating Area 1,No Preference,38,439.88,
57129MN0220003,Rating Area 1,No Preference,39,445.53,
57129MN0220003,Rating Area 1,No Preference,40,451.18,
57129MN0220003,Rating Area 1,No Preference,41,459.65,
57129MN0220003,Rating Area 1,No Preference,42,467.77,
57129MN0220003,Rating Area 1,No Preference,43,479.07,
57129MN0220003,Rating Area 1,No Preference,44,493.19,
